"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 26 20:12:09 CST 2020","Wed Aug 26 20:12:09 CST 2020","0","case.mis","test_begin","TestBegin","","","test_begin",""
"passed","Thu Aug 27 16:36:41 CST 2020","Thu Aug 27 16:36:52 CST 2020","10972","case.mp","test_mp_aritcle","TestPubAritcle","","","test_pub_ari[招聘测试精英_一起共创未来_{}-欢迎各路精英相聚，待遇优厚，福利诱人-软件测试-新增文章成功]",""
"passed","Thu Aug 27 16:36:52 CST 2020","Thu Aug 27 16:36:58 CST 2020","6223","case.mp","test_mp_aritcle","TestPubAritcle","","","test_pub_ari[招聘人工智能精英_一起共创未来_{}-人工智能精英相聚，待遇优厚，福利诱人-人工智能-新增文章成功]",""
"passed","Thu Aug 27 16:36:28 CST 2020","Thu Aug 27 16:36:28 CST 2020","0","case.mp","test_begin","TestBegin","","","test_begin",""
"passed","Wed Aug 26 20:04:17 CST 2020","Wed Aug 26 20:04:21 CST 2020","4258","case.mis","test_end","TestEnd","","","test_end",""
"passed","Thu Aug 27 16:36:35 CST 2020","Thu Aug 27 16:36:37 CST 2020","1848","case.mp","test_mp_login","TestMpLlogin","","","test_mp_login",""
"broken","Wed Aug 26 20:12:22 CST 2020","Wed Aug 26 20:12:25 CST 2020","3570","case.mis","test_mis_aritcle_manage","TestAritcleMana","","","test_aduit_pass",""
"passed","Thu Aug 27 16:36:58 CST 2020","Thu Aug 27 16:37:02 CST 2020","4242","case.mp","test_end","TestEnd","","","test_end",""
"passed","Wed Aug 26 20:54:06 CST 2020","Wed Aug 26 20:54:08 CST 2020","2456","case.mis","test_mis_login","TestMisLogin","","","test_mis_login",""
