"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 26 20:54:06 CST 2020","Wed Aug 26 20:54:08 CST 2020","2456","case.mis","test_mis_login","TestMisLogin","","","test_mis_login",""
"broken","Wed Aug 26 20:54:11 CST 2020","Wed Aug 26 20:54:48 CST 2020","37042","case.mis","test_mis_aritcle_manage","TestAritcleMana","","","test_aduit_pass",""
"passed","Wed Aug 26 20:53:54 CST 2020","Wed Aug 26 20:53:58 CST 2020","4220","case.mp","test_end","TestEnd","","","test_end",""
"passed","Wed Aug 26 20:53:58 CST 2020","Wed Aug 26 20:53:58 CST 2020","0","case.mis","test_begin","TestBegin","","","test_begin",""
"passed","Wed Aug 26 20:53:33 CST 2020","Wed Aug 26 20:53:33 CST 2020","0","case.mp","test_begin","TestBegin","","","test_begin",""
"passed","Wed Aug 26 20:53:38 CST 2020","Wed Aug 26 20:53:40 CST 2020","1704","case.mp","test_mp_login","TestMpLlogin","","","test_mp_login",""
"passed","Wed Aug 26 20:53:44 CST 2020","Wed Aug 26 20:53:54 CST 2020","10373","case.mp","test_mp_aritcle","TestPubAritcle","","","test_pub_ari[招聘测试精英_一起共创未来_{}-欢迎各路精英相聚，待遇优厚，福利诱人-软件测试-新增文章成功]",""
"passed","Wed Aug 26 20:54:48 CST 2020","Wed Aug 26 20:54:52 CST 2020","4228","case.mis","test_end","TestEnd","","","test_end",""
